Name,Points Per Game,Field Goal Percentage,Average 3-Point Field Goals Made,Free Throw Percentage,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game
Jeremy Lamb,12.5,45.1,1.2,83.6,4.3,2.1,1.2,0.5,1.1
Kyle Kuzma,12.5,43.2,1.3,73.8,4.5,1.3,0.4,0.4,1.6
Lonzo Ball,12.4,41.2,2.5,56.7,6.2,7.0,1.4,0.5,3.1
De'Andre Hunter,12.3,41.0,1.7,76.4,4.5,1.8,0.7,0.3,1.6
Darius Garland,12.3,40.1,1.8,87.5,1.9,3.9,0.7,0.1,2.6
PJ Washington,12.2,45.5,1.5,64.7,5.4,2.1,0.9,0.8,1.6
Kevin Huerter,12.2,41.3,2.3,82.8,4.1,3.8,0.9,0.5,1.6
Taurean Prince,12.1,37.6,2.3,79.8,6.0,1.8,0.9,0.4,2.0
Markelle Fultz,12.1,47.3,0.5,72.3,3.3,5.2,1.3,0.2,2.0
Brandon Clarke,12.0,62.3,0.4,78.5,5.8,1.4,0.5,0.8,0.9
Al Horford,12.0,44.2,1.5,75.3,6.9,4.1,0.9,0.9,1.1
Tristan Thompson,12.0,51.2,0.2,61.5,10.1,2.1,0.6,0.9,1.8
Nemanja Bjelica,11.9,47.5,2.0,82.2,6.4,2.8,0.8,0.5,1.4
Myles Turner,11.8,45.1,1.4,75.0,6.5,1.1,0.8,2.2,1.2
Glenn Robinson III,11.8,48.6,1.2,86.7,4.3,1.6,0.9,0.3,0.9
Patty Mills,11.7,42.9,2.3,86.1,1.6,1.8,0.8,0.1,0.8
Jerami Grant,11.6,47.1,1.4,74.4,3.5,1.2,0.7,0.8,0.9
Bryn Forbes,11.2,41.7,2.3,83.3,2.0,1.7,0.5,0.0,0.9
Malik Beasley,11.2,42.5,1.9,81.8,2.7,1.4,0.7,0.1,1.0
Cody Zeller,11.1,52.4,0.3,68.2,7.1,1.5,0.7,0.4,1.3
Cedi Osman,11.0,43.7,1.9,67.0,3.6,2.4,0.8,0.2,1.4
Brook Lopez,11.0,42.7,1.4,81.0,4.5,1.6,0.7,2.4,1.0
Steven Adams,10.9,59.1,0.0,59.0,9.4,2.4,0.9,1.1,1.5
Jeff Teague,10.9,43.6,0.7,87.3,2.4,5.2,0.7,0.3,2.0
OG Anunoby,10.7,50.7,1.3,68.6,5.4,1.6,1.4,0.7,1.2
Dejounte Murray,10.7,47.5,0.6,79.8,5.8,4.1,1.7,0.3,1.9
Jarrett Allen,10.6,64.6,0.0,62.0,9.5,1.3,0.6,1.3,1.1
Cam Reddish,10.5,38.4,1.4,80.2,3.7,1.5,1.1,0.5,1.7
Ish Smith,10.5,45.1,0.9,68.6,3.2,4.8,0.9,0.4,1.3
D.J. Augustin,10.4,39.3,1.2,88.5,2.2,4.6,0.6,0.0,1.4
Jae Crowder,10.4,38.4,1.9,78.5,6.1,2.6,1.2,0.4,1.1
Derrick White,10.4,45.9,0.9,85.7,3.2,3.4,0.6,0.9,1.2
Gary Harris,10.4,42.0,1.3,81.5,2.9,2.1,1.4,0.3,1.1
Doug McDermott,10.4,49.1,1.9,82.7,2.5,1.1,0.1,0.1,0.6
Shabazz Napier,10.3,41.2,1.4,82.3,2.9,5.0,1.3,0.2,2.2
Thaddeus Young,10.3,44.8,1.2,58.3,4.9,1.8,1.4,0.4,1.6
Langston Galloway,10.3,43.5,2.0,85.9,2.3,1.5,0.7,0.2,0.6
Garrett Temple,10.3,37.8,2.0,76.7,3.5,2.6,0.8,0.5,1.0
Malik Monk,10.3,43.4,1.1,82.0,2.9,2.1,0.5,0.3,1.4
Danuel House Jr.,10.2,42.7,1.9,80.0,4.2,1.3,1.1,0.6,0.8
Josh Hart,10.2,41.6,1.9,74.7,6.5,1.6,1.0,0.4,1.1
Bobby Portis,10.1,45.0,1.0,76.3,5.1,1.5,0.5,0.3,1.1
Dario Saric,10.1,46.2,1.3,83.2,5.9,1.9,0.6,0.3,1.2
Markieff Morris,10.1,44.5,1.6,78.3,3.8,1.4,0.5,0.3,1.4
Larry Nance Jr.,10.1,53.1,1.0,67.6,7.3,2.2,1.0,0.4,1.1
Rudy Gay,10.0,44.2,1.0,87.6,5.4,1.7,0.4,0.5,1.3
Kevin Porter Jr.,10.0,44.2,1.1,72.3,3.2,2.2,0.9,0.3,1.9
Tomas Satoransky,9.9,43.0,1.0,87.6,3.9,5.4,1.2,0.1,2.0
Ben McLemore,9.8,44.5,2.4,75.8,2.2,0.9,0.6,0.2,0.7
Joe Ingles,9.8,44.1,1.9,77.4,4.0,5.2,0.9,0.1,1.9
Troy Brown Jr.,9.7,45.3,0.8,75.4,5.3,2.3,1.2,0.1,1.1
Furkan Korkmaz,9.7,43.2,2.0,73.6,2.3,1.1,0.6,0.2,0.8
Mitchell Robinson,9.7,74.2,0.0,56.8,7.0,0.6,0.9,2.0,0.6
Landry Shamet,9.7,41.6,2.2,90.5,1.9,1.9,0.4,0.2,0.8
George Hill,9.6,53.0,1.4,83.1,3.0,2.9,0.8,0.1,0.9
Kentavious Caldwell-Pope,9.5,47.2,1.4,77.9,2.1,1.7,0.8,0.2,0.9
Aaron Holiday,9.4,40.7,1.4,86.1,2.3,3.3,0.8,0.2,1.3
Donte DiVincenzo,9.4,46.2,1.3,76.9,4.9,2.3,1.4,0.3,1.2
Dorian Finney-Smith,9.3,46.8,1.5,72.2,5.5,1.5,0.7,0.6,1.0
Daniel Theis,9.3,56.5,0.4,76.4,6.6,1.6,0.6,1.3,0.8
Marquese Chriss,9.3,54.5,0.1,76.9,6.2,1.9,0.7,1.1,1.3
Derrick Favors,9.2,62.0,0.0,58.1,9.9,1.7,0.6,1.0,1.1
Jarrett Culver,9.2,40.4,1.0,46.2,3.4,1.7,0.9,0.6,1.3
Maxi Kleber,9.2,45.9,1.6,86.3,5.4,1.2,0.3,1.2,0.7
Sviatoslav Mykhailiuk,9.0,41.0,2.1,81.4,1.9,1.9,0.7,0.1,1.1
Bruce Brown,8.9,44.3,0.6,73.9,4.7,4.0,1.1,0.5,1.7
Derrick Jones Jr.,8.9,51.4,0.7,77.9,4.2,1.1,1.1,0.7,0.5
Jordan Poole,8.8,33.3,1.3,79.8,2.1,2.4,0.6,0.2,1.3
Anfernee Simons,8.8,40.2,1.1,82.6,2.3,1.5,0.4,0.2,0.9
Kent Bazemore,8.7,37.4,1.2,76.8,4.3,1.3,1.1,0.6,1.3
Mikal Bridges,8.7,51.6,0.9,84.8,4.0,1.8,1.4,0.6,1.0
Avery Bradley,8.6,44.4,1.3,83.3,2.3,1.3,0.9,0.1,1.0
Josh Okogie,8.6,42.7,0.7,79.6,4.3,1.6,1.1,0.4,1.4
